company_name,A money,A date,B money,B date,C money,C date,D money,D date,E money,E date,F money,F date,G money,G date,H money,H date,IPO money,IPO Date,Seed Money,Seed Date,Undisclosed Money,Undisclosed Date,Non series Money,Non Series Date,,
.comDominio,,,,,,,,,,,,,,,,,0,0,,,,,,,,12/02/04
.FOX Networks,,,,,,,,,,,,,,,,,0,0,,,4912393,16/01/07,,0,4912393,16/01/07
'Rock' Your Paper,,,,,,,,,,,,,,,,,0,0,60385,05/04/13,,,,0,60385,05/04/13
( caravelo (,,01/01/12,,,,,,,,,,,,,,,0,0,,,,,,0,,01/01/12
[24]7,,,,,,,,,,,,,,,,,0,0,,,,,01/07/03,0,,01/07/03
[a]list games,,,,,,,,,,,,,,,,,0,0,9300000,21/11/11,,,,0,9300000,21/11/11
[x+1],48000000,01/06/08,40000000,03/01/11,,,,,,,,,,,,,0,0,,,,,,0,105000000,26/04/10
@Backup,,,,,,,,,,,,,,,,,0,0,,,,,13/10/99,44000000,44000000,13/10/99
@Futsal,,,,,,,,,,,,,,,,,0,0,,,,,21/01/09,6204669,6204669,21/01/09
@TheMoment,,,,,,,28000000,06/08/01,,,,,,,,,0,0,,,,,,0,28000000,06/08/01
//Staq.io,,,,,,,,,,,,,,,,,0,0,,,,,01/10/12,0,,01/10/12
"#BratPackStyle, LLC.",,,,,,,,,,,,,,,,,0,0,,01/06/15,,,,0,,01/06/15
#waywire,,,,,,,,,,,,,,,,,0,0,10500000,30/06/12,,,,0,10500000,30/06/12
0-6.com,2000000,19/03/08,,,,,,,,,,,,,,,0,0,,,,,,0,2000000,19/03/08
004 Technologies,,,,,,,,,,,,,,,,,0,0,,,,,24/07/14,0,,24/07/14
01Games Technology,,,,,,,,,,,,,,,,,0,0,,,41250,01/07/14,,0,41250,01/07/14
1 Mainstream,,,,,,,,,,,,,,,,,0,0,,,,,17/03/15,5000000,5000000,17/03/15
1-800-DENTIST,,,,,,,,,,,,,,,,,0,0,,,,19/08/10,,0,,19/08/10
1-Page,9000000,07/11/13,,,,,,,,,,,,,,,0,0,6000000,01/04/12,,,,0,15000000,18/03/13
"1,2,3 Listo",,,,,,,,,,,,,,,,,0,0,40000,18/02/13,,,,0,40000,18/02/13
1000 Corks,,,,,,,,,,,,,,,,,0,0,40000,23/08/11,,,,0,40000,23/08/11
1000 Markets,,,,,,,,,,,,,,,,,0,0,1500000,15/05/09,,,,0,1500000,15/05/09
1000Lookz,,,,,,,,,,,,,,,,,0,0,,,,,22/07/13,0,,22/07/13
1000memories,27720000,16/02/11,,,,,,,,,,,,,,,0,0,30000,01/01/10,,,,0,27750000,14/12/10
1000museums.com,,,,,,,,,,,,,,,,,0,0,,,,,16/01/13,5690832,9578106,08/06/13
1001pharmacies.com,44500000,09/07/15,,,,,,,,,,,,,,,0,0,,,,,,0,44500000,09/07/15
1006.tv,,01/01/13,20000000,31/07/14,,,,,,,,,,,,,0,0,,,,,01/01/11,0,20000000,16/04/13
100du.tv,3000000,07/01/08,,,,13/08/10,,,,,,,,,,,0,0,,,,,,0,3000000,25/04/09
100e.com,,,,,,,,,,,,,,,,,0,0,,,,,02/05/06,4500000,4500000,02/05/06
100Plus,,,,,,,,,,,,,,,,,0,0,2250000,30/11/11,,,02/11/11,500000,2750000,23/11/11
1010data,,,,,,,,,,,,,,,,,0,0,,,,,08/03/10,35000000,35000000,08/03/10
10sec,,,,,,,,,,,,,,,,,0,0,1600000,02/02/14,,,,0,1600000,02/02/14
10Six,,,,,,,,,,,,,,,,,0,0,,01/02/14,,,,0,,01/02/14
10tracks,,,,,,,,,,,,,,,,,0,0,,31/07/13,,,03/02/14,0,,01/11/13
10X Genomics,,,165000000,12/01/15,,,,,,,,,,,,,0,0,,,,,,0,165000000,12/01/15
117go,,,20000000,28/04/14,,,,,,,,,,,,,0,0,,,,,,0,20000000,28/04/14
11i Solutions,,,,,,,,,,,,,,,,,0,0,,,,,22/03/11,1800000,1800000,22/03/11
12 Labs,,,,,,,,,,,,,,,,,0,0,4675000,26/11/14,,,,0,4675000,26/11/14
120 Sports,,,,,,,,,,,,,,,,,0,0,,,,20/02/14,,0,,20/02/14
121cast,,,,,,,,,,,,,,,,,0,0,500000,13/11/12,,,,0,520000,08/09/12
121nexus,,,,,,,,,,,,,,,,,0,0,124000,26/03/12,,,22/01/13,500000,849000,08/01/13
123ContactForm,,,,,,,,,,,,,,,,,0,0,,,,,01/01/10,0,,01/01/10
123Feng.Com,26000000,27/10/15,,,,,,,,,,,,,,,0,0,,,,,,0,26000000,27/10/15
123Greetings,,,,,,,,,,,,,,,,,0,0,,,,,23/07/15,5400000,5400000,23/07/15
12Bis,,,,,,,,,,,,,,,,,0,0,130636,15/03/12,,,,0,130636,15/03/12
12cm,1809056,11/12/14,,,,,,,,,,,,,,,0,0,,,,,,0,1809056,11/12/14
12Society,,,,,,,,,,,,,,,,,0,0,,05/04/12,,,,0,,05/04/12
1366 Technologies,35100000,01/03/09,98000000,12/11/10,82500000,08/01/14,,,,,,,,,,,0,0,,,,,,0,218600000,07/09/11
139shop,,01/02/07,,,,,,,,,,,,,,,0,0,,,,,,0,,01/02/07
13th Lab,,,,,,,,,,,,,,,,,0,0,700000,15/06/12,,,,0,700000,15/06/12
140 Proof,6000000,01/07/09,10000000,28/04/11,,,,,,,,,,,,,0,0,,,,,,0,16000000,18/09/10
140Fire,,,,,,,,,,,,,,,,,0,0,500000,05/05/10,,,,0,500000,05/05/10
159.com,4500000,01/02/08,1704822,01/03/11,,,,,,,,,,,,,0,0,,,,,,0,6204822,16/08/09
15Fen,,,,,,,,,,,,,,,,,0,0,,15/12/13,,,,0,,15/12/13
15Five,,,,,,,,,,,,,,,,,0,0,8800000,02/10/14,,,15/01/13,10000000,18800000,12/07/13
16Lab Inc.,,,,,,,,,,,,,,,,,0,0,,26/11/14,,,,0,,26/11/14
16WiFi,32000000,05/06/15,,,,,,,,,,,,,,,0,0,,,,,,0,32000000,05/06/15
17 Media,20000000,05/11/15,,,,,,,,,,,,,,,0,0,,,,,,0,20000000,05/11/15
170 Systems,14000000,16/04/02,,,,,,,,,,,,,,,0,0,,,,,,0,14000000,16/04/02
17hats,4000000,15/10/15,,,,,,,,,,,,,,,0,0,1250000,18/02/15,,,,0,5250000,17/06/15
17u.cn,479014,01/01/08,,,248705949,05/09/13,,,,,,,,,,,0,0,,,,,,0,249184963,17/07/12
17zuoye,5000000,01/01/11,30000000,01/09/13,80000000,24/02/14,400000000,19/02/15,,,,,,,,,0,0,,,,,01/01/11,0,515000000,23/06/13
1800Diapers,,,14000000,04/12/07,,,,,,,,,,,,,0,0,,,,,,0,14000000,04/12/07
19pay,,,12460000,01/01/10,,,,,,,,,,,,,0,0,,,,01/01/06,,0,12460000,01/09/08
1bib,,07/02/08,,,,,,,,,,,,,,,0,0,,,,,,0,,07/02/08
1C Company,,,,,,,,,,,,,,,,,0,0,,,,,03/10/11,200000000,200000000,03/10/11
1Cast,,,,,,,,,,,,,,,,,0,0,,,,12/08/08,,0,,12/08/08
1CLICK,,,,,,,,,,,,,,,,,0,0,,26/01/14,,,,0,,26/01/14
1CommMedical,,,,,,,,,,,,,,,,,0,0,,,,,27/04/15,2500000,2500000,27/04/15
1d4 Pty,,,,,,,,,,,,,,,,,0,0,40000,11/04/12,,,,0,40000,11/04/12
1Day1Song,,,,,,,,,,,,,,,,,0,0,,01/12/13,,,,0,,01/12/13
1doc3,,,,,,,,,,,,,,,,,0,0,,,,,,0,37639,21/05/14
1DocWay,,,,,,,,,,,,,,,,,0,0,20400000,01/04/15,,,,0,20400000,01/04/15
1jiajie,8163132,12/05/14,,,,,,,,,,,,,,,0,0,,,,,,0,8163132,12/05/14
1Life Healthcare,,,,,,,,,150000000,21/03/13,,,,,,,0,0,,,,,,0,150000000,21/03/13
1mg,,,,,,,,,,,,,,,,,0,0,,,,,20/04/15,18000000,18000000,20/04/15
1Mind,,,,,,,,,,,,,,,,,0,0,1000000,05/08/13,,,,0,1000000,05/08/13
1mxians,15000000,02/12/15,,,,,,,,,,,,,,,0,0,,,,,,0,15000000,02/12/15
1o1Media,,,,,,,,,,,,,,,,,0,0,,01/10/13,,,,0,,01/10/13
1Ring,,,,,,,,,,,,,,,,,0,0,,,,21/02/11,,0,,21/02/11
1RP Media,,,,,,,,,,,,,,,,,0,0,,29/06/12,,,,0,,29/06/12
1SDK,,,,,,,,,,,,,,,,,0,0,20000,05/08/13,,,,0,20000,05/08/13
1st Merchant Funding,,,,,,,,,,,,,,,,,0,0,,,,,,0,20000000,07/05/14
1stdibs,,,,,15000000,16/11/14,,,,,,,,,,,0,0,,01/10/12,60000000,03/11/11,03/12/12,126000000,201000000,20/04/13
1stGig.com,,,,,,,,,,,,,,,,,0,0,,,,,01/10/12,750000,750000,01/10/12
1World Online,13500000,06/04/15,,,,,,,,,,,,,,,0,0,,,,,,0,13500000,06/04/15
2 Ladoshki,,,,,,,,,,,,,,,,,0,0,,24/12/13,,,,0,,24/12/13
2 Minutes,3320000,19/06/08,,,,,,,,,,,,,,,0,0,,,,,,0,3320000,19/06/08
2 Pro Media Group,,,,,,,,,,,,,,,,,0,0,,,41250,01/01/14,,0,41250,01/01/14
2-Observe,,,,,,,,,,,,,,,,,0,0,612567,25/06/14,,,,0,612567,25/06/14
20:20 Mobile,,,,,,,,,,,,,,,,,0,0,,,,,04/07/08,29750000,29750000,04/07/08
20/20 Gene Systems Inc.,,,,,,,,,,,,,,,,,0,0,,,,,25/09/12,150000,150000,25/09/12
2080 Media,10000000,05/08/10,,,,,104000000,19/07/13,,,,,,,,,0,0,,,,,06/09/11,7200000,121200000,10/01/12
20Dresses,,,,,,,,,,,,,,,,,0,0,2000000,13/02/15,,,,0,2000000,13/02/15
20lines,,,,,,,,,,,,,,,,,0,0,3479754,15/10/13,,,,0,3479754,15/10/13
20n,,,,,,,,,,,,,,,,,0,0,8520000,31/03/15,,,,0,8520000,31/03/15
20x200,23200000,21/02/10,,,,,,,,,,,,,,,0,0,,,,,,0,23200000,21/02/10
21 Inc,10100000,17/11/13,,,,,,,,,,,,,,,0,0,,,,,10/03/15,928000000,938100000,04/12/14
2100b Sausalito LLC.,,,,,,,,,,,,,,,,,0,0,,01/01/13,,,,0,,01/01/13
21Cake Food Co.,,,,,,,,,,,,,,,,,0,0,,,,,22/01/10,2928256,2928256,22/01/10
21Diamonds,,,,,12739014,15/11/12,,,,,,,,,,,0,0,,,,,,0,12739014,15/11/12
21GRAMS,,,,,,,,,,,,,,,,,0,0,,,,,03/04/06,2580000,2580000,03/04/06
21viaNet,,,,13/02/08,,14/01/11,,,,,,,,,,,100000000,39883,,,,,04/12/14,888000000,988000000,08/12/12
22seeds,,,,,,,,,,,,,,,,,0,0,250000,15/10/13,,,,0,250000,15/10/13
2345.com,,,,01/10/10,,,,,,,,,,,,,0,0,,,,,,0,,01/10/10
2359 Media,615000,11/01/11,,,,,,,,,,,,,,,0,0,,,,,,0,615000,11/01/11
23andMe,45000000,03/10/07,25200000,18/06/09,75000000,23/11/10,347699400,21/12/12,460000000,03/07/15,,,,,,,100000,37196,,,,,,0,954399400,16/05/11
23press,,,,,,,,,,,,,,,,,0,0,150000,15/08/11,,,,0,150000,15/08/11
24 Media Network,,,,,,,,,,,,,,,,,0,0,,,370902,01/09/08,,0,370902,01/09/08
24 Quan,,01/11/11,,,,,,,,,,,,,,,0,0,,,,,,0,,01/11/11
24/7 Card,,25/04/11,,,,,,,,,,,,,,,0,0,,,,,,0,,25/04/11
247 Techies,,,,,,,,,,,,,,,,,0,0,1800000,05/11/12,,,,0,1800000,05/11/12
24fab,,,,,,,,,,,,,,,,,0,0,,,,,14/02/15,0,,14/02/15
24h00,,,,,,,,,,,,,,,,,0,0,,01/08/06,,,,0,,01/08/06
24i,,,,,,,,,,,,,,,,,0,0,,,,,10/04/15,2000000,2000000,10/04/15
24M Technologies,48000000,16/08/10,,,,,,,,,,,,,,,0,0,,,,,,0,48000000,16/08/10
24me,,,,,,,,,,,,,,,,,0,0,,02/05/14,,,,0,,02/05/14
24med Sp,,,,,,,,,,,,,,,,,0,0,,,,,01/01/08,0,,01/01/08
24PageBooks,,,,,,,,,,,,,,,,,0,0,50000,24/05/11,,,,0,50000,24/05/11
24Symbols,,,,,,,,,,,,,,,,,0,0,2942768.889,01/02/12,,,,0,2942768.889,01/02/12
24tidy,1692088,14/07/14,,,,,,,,,,,,,,,0,0,,,,,27/12/13,164473,1856561,05/04/14
24x7 Learning,,,,,,,,,,,,,,,,,0,0,,,,,06/11/07,4000000,4000000,06/11/07
25eight,,,,,,,,,,,,,,,,,0,0,25000,26/01/10,,,,0,25000,26/01/10
265 Network,,,,,,,,,,,,,,,,,0,0,,,,,01/12/04,2000000,2000000,01/12/04
